MoleculeType	Identifier	MoleculeName
Proteins	P27824	UniProt:P27824 CANX
Proteins	P27797	UniProt:P27797 CALR
Proteins	P30101	UniProt:P30101 PDIA3
Proteins	Q9BV94	UniProt:Q9BV94 EDEM2
Proteins	Q9UKM7	UniProt:Q9UKM7 MAN1B1
Proteins	Q9BZQ6	UniProt:Q9BZQ6 EDEM3
Proteins	Q92611	UniProt:Q92611 EDEM1
Proteins	Q9NYU1	UniProt:Q9NYU1 UGGT2
Proteins	Q9NYU2	UniProt:Q9NYU2 UGGT1
Proteins	Q9UBV2	UniProt:Q9UBV2 SEL1L
Proteins	Q13438	UniProt:Q13438 OS9
Proteins	Q86TM6	UniProt:Q86TM6 SYVN1
Proteins	Q99942	UniProt:Q99942 RNF5
Proteins	Q8WU17	UniProt:Q8WU17 RNF139
Proteins	O60858	UniProt:O60858 TRIM13
Proteins	O00237	UniProt:O00237 RNF103
Proteins	Q96GF1	UniProt:Q96GF1 RNF185
Proteins	O60337	UniProt:O60337 MARCHF6
Proteins	Q9GZP9	UniProt:Q9GZP9 DERL2
